From	To
KV228_HUMAN	IGKV2-28
KV127_HUMAN	IGKV1-27
KJ01_HUMAN	IGKJ1
GAL3B_HUMAN	GATD3B
PIOS1_HUMAN	PIGBOS1
KVD20_HUMAN	IGKV3D-20
HV551_HUMAN	IGHV5-51
RBM47_HUMAN	RBM47
UBA6_HUMAN	UBA6
ESYT2_HUMAN	ESYT2
SHOT1_HUMAN	SHTN1
RHG10_HUMAN	ARHGAP10
ARH37_HUMAN	ARHGEF37
HACL2_HUMAN	ILVBL
CA226_HUMAN	C1orf226
SPD2B_HUMAN	SH3PXD2B
MACD2_HUMAN	MACROD2
PIPSL_HUMAN	PIPSL
NBAS_HUMAN	NBAS
SYTC2_HUMAN	TARS3
TYW5_HUMAN	TYW5
VWA8_HUMAN	VWA8
WDR91_HUMAN	WDR91
RAB19_HUMAN	RAB19
VP37C_HUMAN	VPS37C
TPC13_HUMAN	TRAPPC13
CNOT1_HUMAN	CNOT1
ARG35_HUMAN	ARHGEF35
MP3B2_HUMAN	MAP1LC3B2
KR87P_HUMAN	KRT87P
CB072_HUMAN	C2orf72
PALM3_HUMAN	PALM3
TBAL3_HUMAN	TUBAL3
FBLL1_HUMAN	FBLL1
SMHD1_HUMAN	SMCHD1
HMX3_HUMAN	HMX3
CCD69_HUMAN	CCDC69
U119B_HUMAN	UNC119B
MET15_HUMAN	METTL15
LIPT2_HUMAN	LIPT2
CC85C_HUMAN	CCDC85C
RGPD3_HUMAN	RGPD3
AQ12B_HUMAN	AQP12B
CO6A6_HUMAN	COL6A6
CO061_HUMAN	C15orf61
RTL8C_HUMAN	RTL8C
P121C_HUMAN	POM121C
RUXGL_HUMAN	SNRPGP15
NUD19_HUMAN	NUDT19
MI4GD_HUMAN	MIF4GD
SMIM1_HUMAN	SMIM1
RBG10_HUMAN	RABGAP1L
IGLL5_HUMAN	IGLL5
WASH3_HUMAN	WASH3P
UMAD1_HUMAN	UMAD1
TM238_HUMAN	TMEM238
MCRI1_HUMAN	MCRIP1
SIM22_HUMAN	SMIM22
S35U4_HUMAN	SLC35A4
ADAS_HUMAN	AGPS
KIF2A_HUMAN	KIF2A
KITM_HUMAN	TK2
DX39A_HUMAN	DDX39A
PDLI1_HUMAN	PDLIM1
BACH_HUMAN	ACOT7
MYO1C_HUMAN	MYO1C
MYO1F_HUMAN	MYO1F
SNP23_HUMAN	SNAP23
HAX1_HUMAN	HAX1
AIP_HUMAN	AIP
GTPB1_HUMAN	GTPBP1
LEG9_HUMAN	LGALS9
STXB3_HUMAN	STXBP3
ARVC_HUMAN	ARVCF
SMAP_HUMAN	SMAP
RB27B_HUMAN	RAB27B
AP3B1_HUMAN	AP3B1
LEG8_HUMAN	LGALS8
NDUS8_HUMAN	NDUFS8
PSD11_HUMAN	PSMD11
PSD12_HUMAN	PSMD12
PSMD9_HUMAN	PSMD9
ATOX1_HUMAN	ATOX1
GET1_HUMAN	GET1
PGRC1_HUMAN	PGRMC1
SPT5H_HUMAN	SUPT5H
DFFA_HUMAN	DFFA
HIP1_HUMAN	HIP1
CLIC1_HUMAN	CLIC1
EIF3F_HUMAN	EIF3F
WWP2_HUMAN	WWP2
ODPX_HUMAN	PDHX
MATN2_HUMAN	MATN2
QSOX1_HUMAN	QSOX1
ACATN_HUMAN	SLC33A1
WASL_HUMAN	WASL
IPO5_HUMAN	IPO5
EF2K_HUMAN	EEF2K
SAP18_HUMAN	SAP18
EMAL1_HUMAN	EML1
DNM1L_HUMAN	DNM1L
RTCA_HUMAN	RTCA
P3C2A_HUMAN	PIK3C2A
SYT5_HUMAN	SYT5
IFRD1_HUMAN	IFRD1
P85B_HUMAN	PIK3R2
GOLI4_HUMAN	GOLIM4
AGRIN_HUMAN	AGRN
MEIS1_HUMAN	MEIS1
EXOC5_HUMAN	EXOC5
HMGN4_HUMAN	HMGN4
NDUA4_HUMAN	NDUFA4
PSDE_HUMAN	PSMD14
BIN1_HUMAN	BIN1
IMA4_HUMAN	KPNA3
STK25_HUMAN	STK25
LAD1_HUMAN	LAD1
FAAH1_HUMAN	FAAH
VMA5A_HUMAN	VWA5A
PESC_HUMAN	PES1
RCAS1_HUMAN	EBAG9
SDCB1_HUMAN	SDCBP
MPP10_HUMAN	MPHOSPH10
NOP56_HUMAN	NOP56
DDX3X_HUMAN	DDX3X
PODXL_HUMAN	PODXL
PIR_HUMAN	PIR
IMA3_HUMAN	KPNA4
NFIB_HUMAN	NFIB
PPP6_HUMAN	PPP6C
ACACB_HUMAN	ACACB
CLD4_HUMAN	CLDN4
PLPP3_HUMAN	PLPP3
C2C2L_HUMAN	C2CD2L
TXND9_HUMAN	TXNDC9
DPYL4_HUMAN	DPYSL4
COX7R_HUMAN	COX7A2L
HSPB6_HUMAN	HSPB6
ACPM_HUMAN	NDUFAB1
UBFD1_HUMAN	UBFD1
DC1I1_HUMAN	DYNC1I1
COPE_HUMAN	COPE
IF1AY_HUMAN	EIF1AY
AP3D1_HUMAN	AP3D1
CCS_HUMAN	CCS
ABLM1_HUMAN	ABLIM1
CHD2_HUMAN	CHD2
GOSR2_HUMAN	GOSR2
TOR1A_HUMAN	TOR1A
TOR1B_HUMAN	TOR1B
STX16_HUMAN	STX16
ADA10_HUMAN	ADAM10
EI24_HUMAN	EI24
P5I11_HUMAN	TP53I11
PTGES_HUMAN	PTGES
IMPA2_HUMAN	IMPA2
ANM5_HUMAN	PRMT5
NHRF1_HUMAN	SLC9A3R1
TPP1_HUMAN	TPP1
TCRG1_HUMAN	TCERG1
TNPO2_HUMAN	TNPO2
UN13B_HUMAN	UNC13B
RPC1_HUMAN	POLR3A
PSA7_HUMAN	PSMA7
SCAM3_HUMAN	SCAMP3
PAHX_HUMAN	PHYH
OPLA_HUMAN	OPLAH
BCKD_HUMAN	BCKDK
IFIT3_HUMAN	IFIT3
MGST3_HUMAN	MGST3
IRF6_HUMAN	IRF6
TX1B3_HUMAN	TAX1BP3
GIPC1_HUMAN	GIPC1
IKKB_HUMAN	IKBKB
TIM23_HUMAN	TIMM23
UB2L6_HUMAN	UBE2L6
CSKP_HUMAN	CASK
PLD2_HUMAN	PLD2
QCR8_HUMAN	UQCRQ
ML12B_HUMAN	MYL12B
HGS_HUMAN	HGS
RAB7L_HUMAN	RAB29
VP26C_HUMAN	VPS26C
MYPT1_HUMAN	PPP1R12A
S27A2_HUMAN	SLC27A2
GAK_HUMAN	GAK
HNRDL_HUMAN	HNRNPDL
XPO1_HUMAN	XPO1
SPTN2_HUMAN	SPTBN2
SC16A_HUMAN	SEC16A
PLXB2_HUMAN	PLXNB2
KHNYN_HUMAN	KHNYN
SR140_HUMAN	U2SURP
KIF3B_HUMAN	KIF3B
DCLK1_HUMAN	DCLK1
ERC2_HUMAN	ERC2
ANR28_HUMAN	ANKRD28
IKKA_HUMAN	CHUK
PLCB_HUMAN	AGPAT2
SCAM1_HUMAN	SCAMP1
SCAM2_HUMAN	SCAMP2
ARC1B_HUMAN	ARPC1B
ARPC2_HUMAN	ARPC2
ARPC3_HUMAN	ARPC3
BET1_HUMAN	BET1
RPAC1_HUMAN	POLR1C
PLS1_HUMAN	PLSCR1
PGRC2_HUMAN	PGRMC2
CETN3_HUMAN	CETN3
SMAD9_HUMAN	SMAD9
RGL2_HUMAN	RGL2
PFD6_HUMAN	PFDN6
WDR46_HUMAN	WDR46
LAMA5_HUMAN	LAMA5
ZN185_HUMAN	ZNF185
